,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snowfall inches (last 3 hrs)
19,Anadyr,RU,2019-11-08 06:37:03,64.73,177.51,10.4,85,0,6.71,clear sky,0.0,0.0
20,Georgetown,GY,2019-11-08 06:33:33,6.8,-58.16,75.2,100,20,4.7,few clouds,0.0,0.0
21,Ushuaia,AR,2019-11-08 06:37:03,-54.81,-68.31,35.6,98,40,21.92,scattered clouds,0.0,0.0
22,Khani,GE,2019-11-08 06:37:04,41.96,42.96,66.2,37,0,16.11,clear sky,0.0,0.0
23,Pevek,RU,2019-11-08 06:37:04,69.7,170.27,22.35,59,83,14.7,broken clouds,0.0,0.0
24,Hithadhoo,MV,2019-11-08 06:37:04,-0.6,73.08,82.47,68,0,6.2,clear sky,0.0,0.0
25,Richards Bay,ZA,2019-11-08 06:37:04,-28.77,32.06,69.03,78,100,14.92,light rain,1.19,0.0
26,Kavieng,PG,2019-11-08 06:37:04,-2.57,150.8,84.52,72,96,12.33,light rain,0.44,0.0
27,Albany,US,2019-11-08 06:34:22,42.65,-73.75,30.2,63,20,9.17,few clouds,0.0,0.0
28,Hobart,AU,2019-11-08 06:37:05,-42.88,147.33,48.2,66,75,12.75,light intensity shower rain,0.0,0.0
29,Pontes E Lacerda,BR,2019-11-08 06:37:05,-15.23,-59.33,72.09,97,100,1.1,light rain,0.38,0.0
30,Khatanga,RU,2019-11-08 06:37:05,71.98,102.47,-8.94,93,42,12.5,scattered clouds,0.0,0.0
31,Sur,OM,2019-11-08 06:37:05,22.57,59.53,80.78,41,33,4.52,scattered clouds,0.0,0.0
32,Taltal,CL,2019-11-08 06:37:05,-25.41,-70.49,51.37,91,50,3.62,scattered clouds,0.0,0.0
33,Kaitangata,NZ,2019-11-08 06:37:06,-46.28,169.85,56.14,75,79,6.06,broken clouds,0.0,0.0
34,Mahebourg,MU,2019-11-08 06:37:06,-20.41,57.7,78.8,69,75,14.99,broken clouds,0.0,0.0
35,Ancud,CL,2019-11-08 06:37:06,-41.87,-73.83,42.1,82,100,2.28,overcast clouds,0.0,0.0
36,Bima,ID,2019-11-08 06:37:06,-8.45,118.73,89.28,51,67,2.71,light rain,1.31,0.0
37,Faanui,PF,2019-11-08 06:37:06,-16.48,-151.75,80.94,81,17,20.2,few clouds,0.0,0.0
38,Tasiilaq,GL,2019-11-08 06:37:07,65.61,-37.64,35.6,59,100,38.03,light snow,0.0,1.37
39,Vaini,IN,2019-11-08 06:37:07,15.34,74.49,80.6,61,40,5.82,scattered clouds,0.0,0.0
40,Nome,US,2019-11-08 06:37:07,30.04,-94.42,60.8,100,90,12.75,overcast clouds,0.0,0.0
41,Atuona,PF,2019-11-08 06:37:07,-9.8,-139.03,80.58,78,0,14.56,light rain,0.44,0.0
42,Gamba,CN,2019-11-08 06:37:08,28.28,88.52,34.16,36,73,3.71,broken clouds,0.0,0.0
43,Berlevag,NO,2019-11-08 06:37:08,70.86,29.09,23.0,92,40,12.75,scattered clouds,0.0,0.0
44,Ostrovnoy,RU,2019-11-08 06:37:08,68.05,39.51,16.97,90,100,6.98,overcast clouds,0.0,0.0
45,Nata,BW,2019-11-08 06:37:08,-20.21,26.19,86.31,23,4,13.09,clear sky,0.0,0.0
46,Yellowknife,CA,2019-11-08 06:36:48,62.45,-114.38,10.4,85,75,6.93,light snow,0.0,0.0
47,Crotone,IT,2019-11-08 06:37:09,39.09,17.12,56.93,65,0,6.58,clear sky,0.0,0.0
48,Constitucion,MX,2019-11-08 06:37:09,23.99,-104.67,61.56,71,80,3.47,broken clouds,0.0,0.0
49,Ayan,IR,2019-11-08 06:37:09,38.23,44.7,46.24,24,0,0.6,clear sky,0.0,0.0
50,Fortuna,US,2019-11-08 06:37:09,40.6,-124.16,48.2,93,90,3.06,overcast clouds,0.0,0.0
51,Poum,MK,2019-11-08 06:37:09,41.28,20.71,46.4,93,40,2.24,scattered clouds,0.0,0.0
52,Roald,NO,2019-11-08 06:37:10,62.58,6.12,28.4,86,20,10.29,few clouds,0.0,0.0
53,Thompson,CA,2019-11-08 06:37:10,55.74,-97.86,10.4,78,90,2.24,light snow,0.0,0.0
54,Katobu,ID,2019-11-08 06:37:10,-4.94,122.53,87.91,53,60,3.91,broken clouds,0.0,0.0
55,Hajos,HU,2019-11-08 06:37:10,46.4,19.12,47.61,93,13,7.72,few clouds,0.0,0.0
56,Kieta,PG,2019-11-08 06:37:11,-6.22,155.63,83.89,71,36,2.04,light rain,0.56,0.0
57,Manzanillo,MX,2019-11-08 06:37:11,19.05,-104.32,82.15,80,50,1.68,scattered clouds,0.0,0.0
58,Lincoln,GB,2019-11-08 06:37:11,53.23,-0.54,46.4,81,20,13.87,few clouds,0.0,0.0
59,Sorland,NO,2019-11-08 06:37:11,67.67,12.69,19.4,92,20,5.82,few clouds,0.0,0.0
60,Saint-Philippe,CA,2019-11-08 06:37:12,45.36,-73.48,30.2,79,90,8.05,light snow,0.0,0.0
61,Sambava,MG,2019-11-08 06:37:12,-14.27,50.17,76.59,86,99,3.78,light rain,1.44,0.0
62,Longyearbyen,NO,2019-11-08 06:33:23,78.22,15.63,15.8,66,20,4.7,few clouds,0.0,0.0
63,Lyuban,BY,2019-11-08 06:37:12,52.8,28.0,42.82,96,76,5.01,broken clouds,0.0,0.0
64,Borba,BR,2019-11-08 06:37:12,-4.39,-59.59,76.98,77,96,2.62,overcast clouds,0.0,0.0
65,Guerrero Negro,MX,2019-11-08 06:37:13,27.97,-114.04,66.76,79,100,4.94,overcast clouds,0.0,0.0
66,Dikson,RU,2019-11-08 06:37:13,73.51,80.55,-6.27,97,74,10.42,broken clouds,0.0,0.0
67,Punta Arenas,CL,2019-11-08 06:37:13,-53.16,-70.91,35.6,80,40,16.11,scattered clouds,0.0,0.0
68,Tuktoyaktuk,CA,2019-11-08 06:37:13,69.44,-133.03,10.4,78,90,18.34,overcast clouds,0.0,0.0
69,South Lake Tahoe,US,2019-11-08 06:37:13,38.93,-119.98,48.2,30,1,2.86,clear sky,0.0,0.0
70,Bubaque,GW,2019-11-08 06:37:14,11.28,-15.83,83.48,64,7,8.34,clear sky,0.0,0.0
71,Mount Isa,AU,2019-11-08 06:37:14,-20.73,139.49,98.6,7,15,12.75,few clouds,0.0,0.0
72,Tamandare,BR,2019-11-08 06:37:14,-8.28,-70.75,71.24,99,100,2.08,overcast clouds,0.0,0.0
73,Karratha,AU,2019-11-08 06:37:14,-20.74,116.85,83.37,54,54,12.35,broken clouds,0.0,0.0
74,New Norfolk,AU,2019-11-08 06:37:14,-42.78,147.06,48.2,66,75,12.75,light intensity shower rain,0.0,0.0
75,Caravelas,BR,2019-11-08 06:37:15,-17.73,-39.27,68.97,96,2,7.27,clear sky,0.0,0.0
76,Naze,NG,2019-11-08 06:37:15,5.43,7.07,77.0,94,75,1.81,broken clouds,0.0,0.0
77,Tabas,IR,2019-11-08 06:37:15,33.6,56.92,62.6,13,0,4.68,clear sky,0.0,0.0
78,Castro,CL,2019-11-08 06:37:15,-42.48,-73.76,35.6,90,98,2.91,overcast clouds,0.0,0.0
79,Oriximina,BR,2019-11-08 06:37:15,-1.77,-55.87,80.69,68,36,2.35,scattered clouds,0.0,0.0
80,Airai,TL,2019-11-08 06:37:15,-8.93,125.41,82.63,43,0,8.97,clear sky,0.0,0.0
81,Eyl,SO,2019-11-08 06:37:16,7.98,49.82,80.58,75,46,8.14,scattered clouds,0.0,0.0
82,Sao Felix Do Xingu,BR,2019-11-08 06:37:16,-6.64,-51.99,70.83,94,51,0.58,light rain,0.94,0.0
83,Dali,CN,2019-11-08 06:37:16,34.79,109.94,63.84,44,0,5.77,clear sky,0.0,0.0
84,Port Macquarie,AU,2019-11-08 06:37:16,-31.43,152.91,89.6,10,0,16.11,clear sky,0.0,0.0
85,Avarua,CK,2019-11-08 06:37:16,-21.21,-159.78,75.2,83,100,12.75,light intensity drizzle,0.0,0.0
86,Port Elizabeth,US,2019-11-08 06:37:17,39.31,-74.98,46.4,75,90,13.87,overcast clouds,0.0,0.0
87,Vila Velha,BR,2019-11-08 06:37:17,-3.71,-38.6,80.6,74,40,13.87,scattered clouds,0.0,0.0
88,San Francisco,CO,2019-11-08 06:32:34,1.17,-76.88,47.66,93,57,3.96,broken clouds,0.0,0.0
89,Arraial Do Cabo,BR,2019-11-08 06:37:17,-22.97,-42.02,72.93,91,100,9.71,light rain,0.13,0.0
90,Campbell River,CA,2019-11-08 06:37:17,50.02,-125.24,42.8,93,75,2.89,broken clouds,0.0,0.0
91,Souillac,FR,2019-11-08 06:37:18,45.6,-0.6,46.4,93,83,13.87,light rain,0.0,0.0
92,Barrow,AR,2019-11-08 06:37:18,-38.31,-60.23,40.64,93,30,7.96,scattered clouds,0.0,0.0
93,Mataura,NZ,2019-11-08 06:37:18,-46.19,168.86,61.05,56,43,5.75,scattered clouds,0.0,0.0
94,Provideniya,RU,2019-11-08 06:37:18,64.42,-173.23,32.0,80,2,17.9,extreme rain,0.0,0.0
95,Memaliaj,AL,2019-11-08 06:37:18,40.35,19.98,54.41,87,65,7.67,light rain,0.56,0.0
96,Maltahohe,NA,2019-11-08 06:37:19,-24.83,16.98,69.71,16,50,16.64,scattered clouds,0.0,0.0
97,Naifaru,MV,2019-11-08 06:37:19,5.44,73.37,82.72,72,57,5.41,broken clouds,0.0,0.0
98,Coquimbo,CL,2019-11-08 06:37:19,-29.95,-71.34,55.4,93,0,6.93,clear sky,0.0,0.0
99,Dunda,IN,2019-11-08 06:37:19,30.62,78.32,70.29,33,27,2.15,scattered clouds,0.0,0.0
100,Meulaboh,ID,2019-11-08 06:37:19,4.14,96.13,80.76,72,100,1.97,overcast clouds,0.0,0.0
101,Ardesen,TR,2019-11-08 06:37:20,41.19,40.99,62.6,45,1,27.51,clear sky,0.0,0.0
102,Comodoro Rivadavia,AR,2019-11-08 06:37:20,-45.87,-67.48,50.0,46,28,5.82,scattered clouds,0.0,0.0
103,Lebu,ET,2019-11-08 06:37:20,8.96,38.73,60.8,59,40,4.7,scattered clouds,0.0,0.0
104,Port Alfred,ZA,2019-11-08 06:37:20,-33.59,26.89,66.15,62,59,17.05,broken clouds,0.0,0.0
105,Amarpur,IN,2019-11-08 06:37:20,23.52,91.65,84.2,74,75,3.2,haze,0.0,0.0
106,Garowe,SO,2019-11-08 06:37:21,8.41,48.48,79.56,59,20,8.63,few clouds,0.0,0.0
107,Nikolskoye,RU,2019-11-08 06:37:21,59.7,30.79,26.6,92,90,8.95,mist,0.0,0.0
108,Butaritari,KI,2019-11-08 06:37:21,3.07,172.79,84.87,63,18,4.74,few clouds,0.0,0.0
109,Indianola,US,2019-11-08 06:37:21,40.24,-100.42,28.4,85,1,8.05,clear sky,0.0,0.0
110,Suluova,TR,2019-11-08 06:37:21,40.83,35.65,51.8,66,48,2.93,scattered clouds,0.0,0.0
111,Lorengau,PG,2019-11-08 06:37:22,-2.02,147.27,81.91,81,99,13.33,light rain,2.25,0.0
112,Port Blair,IN,2019-11-08 06:35:15,11.67,92.75,82.92,78,75,12.1,light rain,0.13,0.0
113,Chuy,UY,2019-11-08 06:37:22,-33.69,-53.46,60.31,95,0,8.14,clear sky,0.0,0.0
114,Leningradskiy,RU,2019-11-08 06:37:22,69.38,178.42,18.95,85,9,17.81,clear sky,0.0,0.0
115,Mazagao,BR,2019-11-08 06:37:22,-0.12,-51.29,80.6,94,7,6.93,clear sky,0.0,0.0
116,Victoria,BN,2019-11-08 06:37:23,5.28,115.24,87.8,70,75,5.82,broken clouds,0.0,0.0
117,Miramar,CR,2019-11-08 06:37:23,10.09,-84.73,73.4,69,40,12.75,scattered clouds,0.0,0.0
118,Nanortalik,GL,2019-11-08 06:37:23,60.14,-45.24,35.49,76,83,17.36,broken clouds,0.0,0.0
119,Iberia,PE,2019-11-08 06:37:23,-11.41,-69.49,72.37,96,100,0.58,light rain,0.69,0.0
120,Cherskiy,RU,2019-11-08 06:37:23,68.75,161.3,18.28,73,100,5.64,overcast clouds,0.0,0.0
121,Guozhen,CN,2019-11-08 06:37:24,29.3,113.14,72.75,31,0,6.44,clear sky,0.0,0.0
122,Carnarvon,ZA,2019-11-08 06:37:24,-30.97,22.13,56.52,41,27,16.37,scattered clouds,0.0,0.0
123,Guangyuan,CN,2019-11-08 06:37:24,32.43,105.86,60.49,65,93,4.16,light rain,0.19,0.0
124,Mishelevka,RU,2019-11-08 06:37:24,52.86,103.17,33.62,81,99,4.85,overcast clouds,0.0,0.0
125,Bredasdorp,ZA,2019-11-08 06:37:24,-34.53,20.04,59.0,77,75,3.36,broken clouds,0.0,0.0
126,Okakarara,NA,2019-11-08 06:37:25,-20.59,17.46,75.76,39,100,14.9,overcast clouds,0.0,0.0
127,Voh,NC,2019-11-08 06:37:25,-20.95,164.69,72.45,68,1,6.8,clear sky,0.0,0.0
128,Klaksvik,FO,2019-11-08 06:37:26,62.23,-6.59,32.0,60,85,9.17,overcast clouds,0.0,0.0
129,Brigantine,US,2019-11-08 06:37:26,39.41,-74.36,46.4,70,90,16.11,overcast clouds,0.0,0.0
130,Hilo,US,2019-11-08 06:37:26,19.71,-155.08,75.2,78,1,3.09,clear sky,0.0,0.0
131,Palmer,AU,2019-11-08 06:37:26,-34.85,139.16,60.8,41,40,21.92,scattered clouds,0.0,0.0
132,Sobolevo,RU,2019-11-08 06:37:26,54.43,31.9,42.75,92,100,3.83,light rain,0.13,0.0
133,Marquette,US,2019-11-08 06:37:21,46.54,-87.4,28.4,92,1,9.17,clear sky,0.0,0.0
134,Port Lincoln,AU,2019-11-08 06:37:27,-34.72,135.86,58.41,50,48,19.53,scattered clouds,0.0,0.0
135,Iqaluit,CA,2019-11-08 06:37:27,63.75,-68.52,14.0,78,75,18.34,broken clouds,0.0,0.0
136,Nishihara,JP,2019-11-08 06:37:27,35.74,139.53,64.4,39,40,2.24,scattered clouds,0.0,0.0
137,Sal Rei,CV,2019-11-08 06:37:28,16.18,-22.92,75.2,69,40,13.87,scattered clouds,0.0,0.0
138,Leopold,US,2019-11-08 06:37:28,38.1,-86.58,30.2,86,1,8.05,clear sky,0.0,0.0
139,Kalangala,UG,2019-11-08 06:37:28,-0.32,32.29,73.98,73,97,10.51,light rain,1.13,0.0
140,Sao Filipe,CV,2019-11-08 06:37:29,14.9,-24.5,73.89,80,100,11.86,overcast clouds,0.0,0.0
141,Mount Gambier,AU,2019-11-08 06:37:29,-37.83,140.78,53.6,62,40,23.04,scattered clouds,0.0,0.0
142,Tosno,RU,2019-11-08 06:37:29,59.54,30.88,26.6,92,90,8.95,mist,0.0,0.0
143,Malindi,KE,2019-11-08 06:37:29,-3.22,40.12,82.4,83,40,6.29,scattered clouds,0.0,0.0
144,Kavaratti,IN,2019-11-08 06:37:29,10.57,72.64,86.0,70,20,9.17,few clouds,0.0,0.0
145,Torbay,CA,2019-11-08 06:37:29,47.66,-52.73,37.4,72,90,11.41,overcast clouds,0.0,0.0
146,Louga,SN,2019-11-08 06:37:30,15.62,-16.22,69.8,83,43,4.7,scattered clouds,0.0,0.0
147,Tanout,NE,2019-11-08 06:37:30,14.97,8.88,77.95,16,1,9.01,clear sky,0.0,0.0
148,Surgut,RU,2019-11-08 06:37:30,61.25,73.4,3.2,84,96,11.18,overcast clouds,0.0,0.0
149,Chokurdakh,RU,2019-11-08 06:37:30,70.62,147.9,-8.4,98,77,7.36,broken clouds,0.0,0.0
150,Havre-Saint-Pierre,CA,2019-11-08 06:37:30,50.23,-63.6,19.4,79,1,5.82,clear sky,0.0,0.0
151,Upernavik,GL,2019-11-08 06:37:31,72.79,-56.15,8.28,65,0,6.26,clear sky,0.0,0.0
152,Elizabeth City,US,2019-11-08 06:37:31,36.3,-76.22,60.8,93,90,5.82,light rain,0.0,0.0
153,Yulara,AU,2019-11-08 06:37:31,-25.24,130.99,91.4,9,0,10.29,clear sky,0.0,0.0
154,Bonham,US,2019-11-08 06:37:32,33.58,-96.18,46.4,86,75,6.93,broken clouds,0.0,0.0
155,Cidreira,BR,2019-11-08 06:37:32,-30.17,-50.22,68.65,90,10,12.77,clear sky,0.0,0.0
156,Fonte Boa,BR,2019-11-08 06:37:32,-2.51,-66.09,75.07,83,100,0.56,overcast clouds,0.0,0.0
157,Ribeira Grande,PT,2019-11-08 06:37:32,38.52,-28.7,61.95,83,74,4.88,broken clouds,0.0,0.0
158,Scheemda,NL,2019-11-08 06:37:32,53.18,6.97,39.2,93,0,9.17,clear sky,0.0,0.0
159,Casalmaggiore,IT,2019-11-08 06:37:32,44.99,10.42,51.8,93,75,4.7,moderate rain,0.0,0.0
160,Rock Sound,BS,2019-11-08 06:37:33,24.9,-76.2,79.7,82,0,10.07,clear sky,0.0,0.0
161,Tomatlan,MX,2019-11-08 06:37:33,19.93,-105.25,70.5,90,52,2.48,broken clouds,0.0,0.0
162,Kimparana,ML,2019-11-08 06:37:33,12.83,-4.92,79.39,40,13,4.43,few clouds,0.0,0.0
163,Beringovskiy,RU,2019-11-08 06:37:33,63.05,179.32,27.18,93,53,14.07,broken clouds,0.0,0.0
164,Pangnirtung,CA,2019-11-08 06:37:33,66.15,-65.72,15.28,65,53,3.51,broken clouds,0.0,0.0
165,Wewak,PG,2019-11-08 06:37:34,-3.55,143.63,78.64,85,98,8.77,light rain,1.31,0.0
166,Tucupita,VE,2019-11-08 06:37:34,9.06,-62.05,74.44,95,84,3.15,broken clouds,0.0,0.0
167,Vardo,US,2019-11-08 06:37:34,39.62,-77.74,41.0,74,90,6.93,overcast clouds,0.0,0.0
168,Narsaq,GL,2019-11-08 06:37:34,60.91,-46.05,46.4,28,100,24.16,overcast clouds,0.0,0.0
169,Cape Town,ZA,2019-11-08 06:32:59,-33.93,18.42,64.4,55,4,12.75,clear sky,0.0,0.0
170,Ahipara,NZ,2019-11-08 06:37:35,-35.17,173.16,64.99,90,74,14.45,light rain,0.19,0.0
171,Port Hardy,CA,2019-11-08 06:37:35,50.7,-127.42,51.8,71,75,9.17,broken clouds,0.0,0.0
172,Juba,EE,2019-11-08 06:37:35,57.82,26.93,33.8,100,90,2.24,light intensity drizzle,0.0,0.0
173,Cabo San Lucas,MX,2019-11-08 06:36:17,22.89,-109.91,73.27,73,100,0.6,overcast clouds,0.0,0.0
174,Malbork,PL,2019-11-08 06:37:35,54.04,19.03,37.4,100,40,6.93,mist,0.0,0.0
175,Alekseyevsk,RU,2019-11-08 06:37:36,57.84,108.35,30.43,95,100,12.57,light snow,0.0,1.31
176,Moerai,PF,2019-11-08 06:37:36,-22.43,-151.33,73.62,79,52,12.86,broken clouds,0.0,0.0
177,Sept-Iles,CA,2019-11-08 06:35:28,50.2,-66.38,10.4,85,20,4.7,few clouds,0.0,0.0
178,Svetlogorsk,RU,2019-11-08 06:37:36,53.14,59.15,48.2,70,75,20.13,broken clouds,0.0,0.0
179,Lappeenranta,FI,2019-11-08 06:37:36,61.06,28.19,24.8,92,90,4.7,light shower snow,0.0,0.0
180,East London,ZA,2019-11-08 06:37:36,-33.02,27.91,68.0,49,20,18.34,few clouds,0.0,0.0
181,Reitz,ZA,2019-11-08 06:37:37,-27.8,28.43,62.55,73,7,12.77,clear sky,0.0,0.0
182,Kodiak,US,2019-11-08 06:37:37,39.95,-94.76,21.2,79,1,3.53,clear sky,0.0,0.0
183,Ishigaki,JP,2019-11-08 06:37:37,24.34,124.16,78.8,65,40,21.92,scattered clouds,0.0,0.0
184,Viedma,AR,2019-11-08 06:37:37,-40.81,-62.99,50.11,68,81,12.15,broken clouds,0.0,0.0
185,Bilma,NE,2019-11-08 06:37:37,18.69,12.92,75.79,18,0,6.67,clear sky,0.0,0.0
186,Bowen,AU,2019-11-08 06:37:38,-20.01,148.25,86.0,51,0,17.22,clear sky,0.0,0.0
187,Luderitz,NA,2019-11-08 06:35:07,-26.65,15.16,60.8,63,52,10.29,broken clouds,0.0,0.0
188,Menemen,TR,2019-11-08 06:37:38,38.6,27.08,68.0,87,10,2.24,clear sky,0.0,0.0
189,Nakamura,JP,2019-11-08 06:37:38,35.17,136.87,64.4,42,20,19.46,few clouds,0.0,0.0
190,Cairns,AU,2019-11-08 06:36:49,-16.92,145.77,82.4,58,31,6.93,scattered clouds,0.0,0.0
191,Gunjur,GM,2019-11-08 06:37:39,13.18,-16.76,81.41,61,30,15.17,scattered clouds,0.0,0.0
192,Ilulissat,GL,2019-11-08 06:37:39,69.22,-51.1,33.8,34,100,11.41,overcast clouds,0.0,0.0
193,Lasa,CY,2019-11-08 06:37:39,34.92,32.53,71.6,37,0,3.36,clear sky,0.0,0.0
194,Antunez,MX,2019-11-08 06:37:40,29.04,-111.04,69.8,56,40,4.7,scattered clouds,0.0,0.0
195,Khovu-Aksy,RU,2019-11-08 06:37:40,51.13,93.72,31.39,73,84,3.18,broken clouds,0.0,0.0
196,Kjollefjord,NO,2019-11-08 06:37:40,70.95,27.35,28.4,92,40,12.75,scattered clouds,0.0,0.0
197,Coihaique,CL,2019-11-08 06:37:40,-45.58,-72.07,37.4,74,20,1.12,few clouds,0.0,0.0
198,Chulym,RU,2019-11-08 06:37:40,55.09,80.97,32.97,90,100,21.36,light snow,0.0,1.19
199,Vanimo,PG,2019-11-08 06:37:41,-2.67,141.3,84.58,67,100,5.46,overcast clouds,0.0,0.0
200,Saskylakh,RU,2019-11-08 06:37:41,71.97,114.09,-24.74,98,0,5.95,clear sky,0.0,0.0
201,Pandan,PH,2019-11-08 06:37:41,11.72,122.09,83.17,77,89,21.47,overcast clouds,0.0,0.0
202,Saint-Augustin,CA,2019-11-08 06:37:41,45.63,-73.98,26.6,79,90,8.05,light snow,0.0,0.0
203,Alta Floresta,BR,2019-11-08 06:37:41,-9.87,-56.08,71.2,90,100,3.8,overcast clouds,0.0,0.0
204,Sault Sainte Marie,CA,2019-11-08 06:37:42,46.49,-84.36,19.4,78,1,4.7,clear sky,0.0,0.0
205,Lagoa,PT,2019-11-08 06:37:42,37.14,-8.45,53.6,87,75,6.93,broken clouds,0.0,0.0
206,The Valley,AI,2019-11-08 06:37:42,18.22,-63.06,80.6,78,40,8.05,scattered clouds,0.0,0.0
207,Dukat,AL,2019-11-08 06:37:42,40.25,19.57,68.74,68,82,8.32,light rain,2.63,0.0
208,Zhaotong,CN,2019-11-08 06:37:43,27.34,103.71,50.05,84,100,3.6,overcast clouds,0.0,0.0
209,Sao Joao Do Piaui,BR,2019-11-08 06:37:43,-8.36,-42.25,77.74,50,51,6.22,broken clouds,0.0,0.0
210,Hami,CN,2019-11-08 06:37:43,42.84,93.51,49.82,33,67,8.03,broken clouds,0.0,0.0
211,Kars,TR,2019-11-08 06:37:43,40.61,43.1,37.4,80,0,1.12,clear sky,0.0,0.0
212,Mount Vernon,US,2019-11-08 06:37:43,38.73,-77.1,46.4,56,1,10.29,clear sky,0.0,0.0
213,Fairmont,US,2019-11-08 06:37:44,40.64,-97.59,24.8,85,1,5.82,clear sky,0.0,0.0
214,Katsuura,JP,2019-11-08 06:37:44,33.93,134.5,62.6,48,20,10.29,few clouds,0.0,0.0
215,Baykit,RU,2019-11-08 06:37:44,61.68,96.39,31.96,88,100,9.95,overcast clouds,0.0,0.0
216,Bethel,US,2019-11-08 06:35:15,60.79,-161.76,30.2,100,90,10.29,light rain,0.0,0.0
217,Quang Ngai,VN,2019-11-08 06:33:15,15.12,108.8,78.15,71,48,19.17,light rain,0.38,0.0
218,Bo Phloi,TH,2019-11-08 06:37:45,14.32,99.52,79.75,68,100,11.14,overcast clouds,0.0,0.0
219,Tabou,CI,2019-11-08 06:37:45,4.42,-7.36,74.12,96,62,2.37,light rain,0.44,0.0
220,Hambantota,LK,2019-11-08 06:37:45,6.12,81.12,87.8,79,40,10.29,scattered clouds,0.0,0.0
221,Vila Franca Do Campo,PT,2019-11-08 06:37:46,37.72,-25.43,59.0,82,20,4.7,few clouds,0.0,0.0
222,Geraldton,CA,2019-11-08 06:37:46,49.72,-86.95,10.4,66,90,2.24,light snow,0.0,0.0
223,Lakselv,NO,2019-11-08 06:37:46,70.05,24.96,17.6,85,75,8.05,broken clouds,0.0,0.0
224,Belyy Yar,RU,2019-11-08 06:37:46,53.6,91.39,42.8,52,40,15.66,scattered clouds,0.0,0.0
225,Rochegda,RU,2019-11-08 06:37:46,62.67,43.41,14.36,89,64,4.52,broken clouds,0.0,0.0
226,Pishin,PK,2019-11-08 06:37:47,30.58,67.0,52.84,17,0,2.86,clear sky,0.0,0.0
227,San Quintin,PH,2019-11-08 06:37:47,17.54,120.52,86.29,69,5,4.47,moderate rain,4.19,0.0
228,Urucui,BR,2019-11-08 06:37:47,-7.23,-44.56,79.54,53,56,0.22,broken clouds,0.0,0.0
229,Zyryanka,RU,2019-11-08 06:37:47,65.73,150.89,-1.74,95,13,4.38,few clouds,0.0,0.0
230,Vilkaviskis,LT,2019-11-08 06:37:48,54.65,23.03,39.9,92,0,7.67,clear sky,0.0,0.0
231,Ustupo,PA,2019-11-08 06:37:48,9.13,-77.93,73.83,98,100,1.07,overcast clouds,0.0,0.0
232,Tigzirt,DZ,2019-11-08 06:37:48,36.57,4.2,49.89,87,81,8.97,light rain,1.13,0.0
233,Hamilton,CA,2019-11-08 06:37:16,43.26,-79.87,28.4,86,75,5.82,broken clouds,0.0,0.0
234,Saldanha,PT,2019-11-08 06:37:49,41.42,-6.55,37.04,91,14,10.29,few clouds,0.0,0.0
